Actor Name,1,2,3,4,5,6,7,8,9
User actions,Скачивает приложение,Открывает приложение,"Добавляет данные перевала: координаты, ФИО, тел, почта, название перевала, 3 фото",Редактирует неотправленные данные,"Перед отправкой данных пользователь проходит по ссылке, в браузере открывается сайт, где он ознакамливается с политикой обработки персональных данных","Из браузера пользователь возвращается в приложение и нажимает кнопку ""Отправить данные""","После отправки пользователь получает уведомление о статусе отправки - ""Отправлено успешно"" или причина ошибки при неуспешной отправке",Пользователь нажимает Ок на уведомлении о статусе отправки,"Пользователь выбирает пункт меню ""Добавить новый перевал"" и цикл повторяется"
App actions,,Приветствие,"Все заполненные поля сохраняются в кэше до момента следующего редактирования, в т.ч. если пользователь закрыл приложение или переключился на другое приложение. Поля ФИО, тел, почта привязываются к ID пользователя и при следующем заполнении предзаполняются автоматически. Можно добавить до 3 фотографий из галерии. Добавленные фото можно удалить. После добавления третьей фотографии кнопка ""добавить фото"" становится неактивна","После редактирования данные в кэше обновляются и хранятся до момента отправки на сервер, в т.ч. если пользователь закрыл приложение или переключился на другое приложение",Переход по ссылке,Приложение отправляет данные на сервер ФСТР,"После отправки показывается уведомление о статусе отправки. Если отправка прошла успешно, то данные по отправленному интервалу удаляются и не отображаются. Если отправка неуспешка, то данные остаются в кэше до момента успешной отправки",После нажатия Ок уведомление закрывается. ,
